gene_symbol	clinical_positive	discovery_positive	positive_source_count	clinical_sources	discovery_sources	heldout_eligible_sources
COL4A6	1	0	1	chembl_clinical		chembl_clinical
COL5A1	1	0	1	chembl_clinical		chembl_clinical
COL5A2	1	0	1	chembl_clinical		chembl_clinical
COL5A3	1	0	1	chembl_clinical		chembl_clinical
COL6A1	1	0	1	chembl_clinical		chembl_clinical
COL6A2	1	0	1	chembl_clinical		chembl_clinical
COL6A3	1	0	1	chembl_clinical		chembl_clinical
COL6A5	1	0	1	chembl_clinical		chembl_clinical
COL6A6	1	0	1	chembl_clinical		chembl_clinical
COL7A1	1	0	1	chembl_clinical		chembl_clinical
COMT	1	0	1	chembl_clinical		chembl_clinical
COX1	1	0	1	chembl_clinical		chembl_clinical
COX2	1	0	1	chembl_clinical		chembl_clinical
COXFA4	1	0	1	chembl_clinical		chembl_clinical
COXFA4L2	1	0	1	chembl_clinical		chembl_clinical
CPS1	1	0	1	chembl_clinical		chembl_clinical
CPSF3	1	0	1	chembl_clinical		chembl_clinical
CPT1B	1	0	1	chembl_clinical		chembl_clinical
CPT2	1	0	1	chembl_clinical		chembl_clinical
CR1	1	0	1	chembl_clinical		chembl_clinical
CRBN	1	0	1	chembl_clinical		chembl_clinical
CREB1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CREB3L2	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CREBBP	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
CRHR1	1	0	1	chembl_clinical		chembl_clinical
CRIPTO	1	0	1	chembl_clinical		chembl_clinical
CRTC1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CSF1	1	0	1	chembl_clinical		chembl_clinical
CSF1R	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
CSF2	1	0	1	chembl_clinical		chembl_clinical
CSF2RA	1	0	1	chembl_clinical		chembl_clinical
CSF2RB	1	0	1	chembl_clinical		chembl_clinical
CSF3R	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
CSMD3	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CSNK1E	1	0	1	chembl_clinical		chembl_clinical
CSNK2A1	1	0	1	chembl_clinical		chembl_clinical
CTAG1A	1	0	1	chembl_clinical		chembl_clinical
CTAG1B	1	0	1	chembl_clinical		chembl_clinical
CTCF	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CTLA-4	1	0	1	chembl_clinical		chembl_clinical
CTLA4	1	0	1	chembl_clinical		chembl_clinical
CTNNB1	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
CTRB1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CTRB2	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CTSC	1	0	1	chembl_clinical		chembl_clinical
CTSE	0	1	1		curated_literature:Nwosu2025	curated_literature:Nwosu2025
CTSK	1	0	1	chembl_clinical		chembl_clinical
CTSO	1	0	1	chembl_clinical		chembl_clinical
CTSS	1	0	1	chembl_clinical		chembl_clinical
CUL4A	1	0	1	chembl_clinical		chembl_clinical
CUX1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
CX3CL1	1	0	1	chembl_clinical		chembl_clinical
CXCL10	1	0	1	chembl_clinical		chembl_clinical
CXCL12	1	0	1	chembl_clinical		chembl_clinical
CXCL17	0	1	1		article_context_literature:nwosu2025	article_context_literature:nwosu2025
CXCL8	1	0	1	chembl_clinical		chembl_clinical
CXCR1	1	0	1	chembl_clinical		chembl_clinical
CXCR2	1	0	1	chembl_clinical		chembl_clinical
CXCR4	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
CYP11A1	1	0	1	chembl_clinical		chembl_clinical
CYP11B1	1	0	1	chembl_clinical		chembl_clinical
CYP11B2	1	0	1	chembl_clinical		chembl_clinical
CYP17A1	1	0	1	chembl_clinical		chembl_clinical
CYP19A1	1	0	1	chembl_clinical		chembl_clinical
CYP26A1	1	0	1	chembl_clinical		chembl_clinical
CYP3A4	1	0	1	chembl_clinical		chembl_clinical
CYP3A43	1	0	1	chembl_clinical		chembl_clinical
CYP3A5	1	0	1	chembl_clinical		chembl_clinical
CYP3A7	1	0	1	chembl_clinical		chembl_clinical
CYP46A1	1	0	1	chembl_clinical		chembl_clinical
CYP51	1	0	1	chembl_clinical		chembl_clinical
CYP51A	1	0	1	chembl_clinical		chembl_clinical
CYSLTR1	1	0	1	chembl_clinical		chembl_clinical
DACA	1	0	1	chembl_clinical		chembl_clinical
DACB	1	0	1	chembl_clinical		chembl_clinical
DACC	1	0	1	chembl_clinical		chembl_clinical
DAP	1	0	1	chembl_clinical		chembl_clinical
DBH	1	0	1	chembl_clinical		chembl_clinical
DDB1	1	0	1	chembl_clinical		chembl_clinical
DDC	1	0	1	chembl_clinical		chembl_clinical
DDL	1	0	1	chembl_clinical		chembl_clinical
DDR2	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
DDX10	1	0	1	opentargets_high_evidence		opentargets_high_evidence
DDX3X	1	0	1	opentargets_high_evidence		opentargets_high_evidence
DEK	1	0	1	opentargets_high_evidence		opentargets_high_evidence
DFRA	1	0	1	chembl_clinical		chembl_clinical
DGAT1	1	0	1	chembl_clinical		chembl_clinical
DHCR24	1	0	1	chembl_clinical		chembl_clinical
DHFR	1	0	1	chembl_clinical		chembl_clinical
DHFR-TS	1	0	1	chembl_clinical		chembl_clinical
DHOD	1	0	1	chembl_clinical		chembl_clinical
DHODH	1	0	1	chembl_clinical		chembl_clinical
DHPS	1	0	1	chembl_clinical		chembl_clinical
DICER1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
DIO1	1	0	1	chembl_clinical		chembl_clinical
DKK1	1	0	1	chembl_clinical		chembl_clinical
DLL3	1	0	1	chembl_clinical		chembl_clinical
DLL4	1	0	1	chembl_clinical		chembl_clinical
DLX5	0	1	1		article_context_literature:slc2025	article_context_literature:slc2025
DMD	1	0	1	chembl_clinical		chembl_clinical
DNM2	1	0	1	opentargets_high_evidence		opentargets_high_evidence
DNMT1	1	0	1	chembl_clinical		chembl_clinical
DNMT3A	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
DNPEP	1	0	1	chembl_clinical		chembl_clinical
DOK2	1	0	1	opentargets_high_evidence		opentargets_high_evidence
DPEP1	1	0	1	chembl_clinical		chembl_clinical
DPP4	1	0	1	chembl_clinical		chembl_clinical
DPRE1	1	0	1	chembl_clinical		chembl_clinical
DPYD	1	0	1	chembl_clinical		chembl_clinical
DRD1	1	0	1	chembl_clinical		chembl_clinical
DRD2	1	0	1	chembl_clinical		chembl_clinical
DRD3	1	0	1	chembl_clinical		chembl_clinical
DRD4	1	0	1	chembl_clinical		chembl_clinical
DRD5	1	0	1	chembl_clinical		chembl_clinical
DROSHA	1	0	1	opentargets_high_evidence		opentargets_high_evidence
DXR	1	0	1	chembl_clinical		chembl_clinical
DYRK1A	1	0	1	chembl_clinical		chembl_clinical
DYSTROPHIN	1	0	1	chembl_clinical		chembl_clinical
E-SELECTIN	1	0	1	chembl_clinical		chembl_clinical
E2F1	1	0	1	chembl_clinical		chembl_clinical
E2F2	1	0	1	chembl_clinical		chembl_clinical
E2F3	1	0	1	chembl_clinical		chembl_clinical
E2F4	1	0	1	chembl_clinical		chembl_clinical
E2F5	1	0	1	chembl_clinical		chembl_clinical
E2F6	1	0	1	chembl_clinical		chembl_clinical
E2F7	1	0	1	chembl_clinical		chembl_clinical
E2F8	1	0	1	chembl_clinical		chembl_clinical
E7	1	0	1	chembl_clinical		chembl_clinical
EBF1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ECE1	1	0	1	chembl_clinical		chembl_clinical
EDNRA	1	0	1	chembl_clinical		chembl_clinical
EDNRB	1	0	1	chembl_clinical		chembl_clinical
EEF1A2	1	0	1	chembl_clinical		chembl_clinical
EEF2	1	0	1	chembl_clinical		chembl_clinical
EFNB2	1	0	1	chembl_clinical		chembl_clinical
EGFL7	1	0	1	chembl_clinical		chembl_clinical
EGFR	1	1	6	chembl_clinical;known_direct_drug;opentargets_high_evidence	article_context_literature:guo2025;article_context_literature:nwosu2025;curated_literature:Savage2024	article_context_literature:guo2025;article_context_literature:nwosu2025;chembl_clinical;curated_literature:Savage2024;known_direct_drug;opentargets_high_evidence
EGLN1	1	0	1	chembl_clinical		chembl_clinical
EGLN2	1	0	1	chembl_clinical		chembl_clinical
EGLN3	1	0	1	chembl_clinical		chembl_clinical
EGR1	1	0	1	chembl_clinical		chembl_clinical
EIF3E	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ELA2	1	0	1	chembl_clinical		chembl_clinical
ELANE	1	0	1	chembl_clinical		chembl_clinical
ELF4	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ELK1	1	0	1	chembl_clinical		chembl_clinical
ELK3	1	0	1	chembl_clinical		chembl_clinical
ELK4	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ELN	1	0	1	chembl_clinical		chembl_clinical
EMBA	1	0	1	chembl_clinical		chembl_clinical
EML4	1	0	1	chembl_clinical		chembl_clinical
ENDOSIALIN	1	0	1	chembl_clinical		chembl_clinical
ENDOSTATIN	1	0	1	chembl_clinical		chembl_clinical
ENG	1	0	1	chembl_clinical		chembl_clinical
ENPEP	1	0	1	chembl_clinical		chembl_clinical
ENPP2	1	0	1	chembl_clinical		chembl_clinical
ENPP3	1	0	1	chembl_clinical		chembl_clinical
ENR	1	0	1	chembl_clinical		chembl_clinical
ENV	1	0	1	chembl_clinical		chembl_clinical
EP300	1	0	1	opentargets_high_evidence		opentargets_high_evidence
EPAS1	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
EPCAM	1	0	1	chembl_clinical		chembl_clinical
EPHA1	1	0	1	chembl_clinical		chembl_clinical
EPHA10	1	0	1	chembl_clinical		chembl_clinical
EPHA2	1	0	1	chembl_clinical		chembl_clinical
EPHA3	1	0	1	chembl_clinical		chembl_clinical
EPHA4	1	0	1	chembl_clinical		chembl_clinical
EPHA5	1	0	1	chembl_clinical		chembl_clinical
EPHA6	1	0	1	chembl_clinical		chembl_clinical
EPHA7	1	0	1	chembl_clinical		chembl_clinical
EPHA8	1	0	1	chembl_clinical		chembl_clinical
EPHB1	1	0	1	chembl_clinical		chembl_clinical
EPHB2	1	0	1	chembl_clinical		chembl_clinical
EPHB3	1	0	1	chembl_clinical		chembl_clinical
EPHB4	1	0	1	chembl_clinical		chembl_clinical
EPHB6	1	0	1	chembl_clinical		chembl_clinical
EPHX2	1	0	1	chembl_clinical		chembl_clinical
EPIREGULIN	1	0	1	chembl_clinical		chembl_clinical
EPOR	1	0	1	chembl_clinical		chembl_clinical
EPS15	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ERAP1	1	0	1	chembl_clinical		chembl_clinical
ERAP2	1	0	1	chembl_clinical		chembl_clinical
ERBB2	1	1	4	chembl_clinical;known_direct_drug;opentargets_high_evidence	curated_literature:Savage2024	chembl_clinical;curated_literature:Savage2024;known_direct_drug;opentargets_high_evidence
ERBB3	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
ERBB4	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
ERCC2	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ERCC3	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ERCC4	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ERCC5	1	0	1	opentargets_high_evidence		opentargets_high_evidence
EREG	1	0	1	chembl_clinical		chembl_clinical
ERG	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
ERG1	1	0	1	chembl_clinical		chembl_clinical
ERG11	1	0	1	chembl_clinical		chembl_clinical
ERG2	1	0	1	chembl_clinical		chembl_clinical
ERVW-1	1	0	1	chembl_clinical		chembl_clinical
ERVWE1	1	0	1	chembl_clinical		chembl_clinical
ESR	1	0	1	chembl_clinical		chembl_clinical
ESR1	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
ESR2	1	0	1	chembl_clinical		chembl_clinical
ESRRG	1	0	1	chembl_clinical		chembl_clinical
ETAA1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ETNK1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ETV1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ETV5	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ETV6	1	0	1	opentargets_high_evidence		opentargets_high_evidence
EXPORTIN-1	1	0	1	chembl_clinical		chembl_clinical
EXT1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
EXT2	1	0	1	opentargets_high_evidence		opentargets_high_evidence
EZH2	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
F10	1	0	1	chembl_clinical		chembl_clinical
F11	1	0	1	chembl_clinical		chembl_clinical
F12	1	0	1	chembl_clinical		chembl_clinical
F13A1	1	0	1	chembl_clinical		chembl_clinical
F2	1	0	1	chembl_clinical		chembl_clinical
F2R	1	0	1	chembl_clinical		chembl_clinical
F2RL3	1	0	1	chembl_clinical		chembl_clinical
F3	1	0	1	chembl_clinical		chembl_clinical
F5	1	0	1	chembl_clinical		chembl_clinical
F7	1	0	1	chembl_clinical		chembl_clinical
F8	1	0	1	chembl_clinical		chembl_clinical
F9	1	0	1	chembl_clinical		chembl_clinical
FAAH	1	0	1	chembl_clinical		chembl_clinical
FAAH1	1	0	1	chembl_clinical		chembl_clinical
FABI	1	0	1	chembl_clinical		chembl_clinical
FANCA	1	0	1	opentargets_high_evidence		opentargets_high_evidence
FANCC	1	0	1	opentargets_high_evidence		opentargets_high_evidence
FANCD2	1	0	1	opentargets_high_evidence		opentargets_high_evidence
FANCE	1	0	1	opentargets_high_evidence		opentargets_high_evidence
FANCG	1	0	1	opentargets_high_evidence		opentargets_high_evidence
FAP	1	0	1	chembl_clinical		chembl_clinical
FAS	1	0	1	chembl_clinical		chembl_clinical
FASLG	1	0	1	chembl_clinical		chembl_clinical
FAT1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
FAT4	1	0	1	opentargets_high_evidence		opentargets_high_evidence
FAU	1	0	1	chembl_clinical		chembl_clinical
FBXO11	1	0	1	opentargets_high_evidence		opentargets_high_evidence
FBXW7	1	0	1	opentargets_high_evidence		opentargets_high_evidence
FCER2	1	0	1	chembl_clinical		chembl_clinical
FCGR1A	1	0	1	chembl_clinical		chembl_clinical
FCGR2B	1	0	1	chembl_clinical		chembl_clinical
FCGR3A	1	0	1	chembl_clinical		chembl_clinical
FCGRT	1	0	1	chembl_clinical		chembl_clinical
FCRL4	1	0	1	opentargets_high_evidence		opentargets_high_evidence
FCRL5	1	0	1	chembl_clinical		chembl_clinical
FDFT1	1	0	1	chembl_clinical		chembl_clinical
FDPS	1	0	1	chembl_clinical		chembl_clinical
FFAR1	1	0	1	chembl_clinical		chembl_clinical
FFAR2	1	0	1	chembl_clinical		chembl_clinical
FGA	1	0	1	chembl_clinical		chembl_clinical
FGB	1	0	1	chembl_clinical		chembl_clinical
FGF1	1	0	1	chembl_clinical		chembl_clinical
FGF2	1	0	1	chembl_clinical		chembl_clinical
FGF23	1	0	1	chembl_clinical		chembl_clinical
FGFR1	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
FGFR2	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
FGFR3	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
FGFR4	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
FGG	1	0	1	chembl_clinical		chembl_clinical
FGR	1	0	1	chembl_clinical		chembl_clinical
FH	1	0	1	opentargets_high_evidence		opentargets_high_evidence
FHIT	1	0	1	opentargets_high_evidence		opentargets_high_evidence
FIBRONECTIN	1	0	1	chembl_clinical		chembl_clinical
FKBP1A	1	0	1	chembl_clinical		chembl_clinical
FLG	1	0	1	chembl_clinical		chembl_clinical
FLI1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
FLK1	1	0	1	chembl_clinical		chembl_clinical
FLNA	1	0	1	chembl_clinical		chembl_clinical
FLT1	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
FLT3	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
FLT4	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
FN1	1	0	1	chembl_clinical		chembl_clinical
FNTA	1	0	1	chembl_clinical		chembl_clinical
FNTB	1	0	1	chembl_clinical		chembl_clinical
FOLA	1	0	1	chembl_clinical		chembl_clinical
FOLH1	1	0	1	chembl_clinical		chembl_clinical
FOLP	1	0	1	chembl_clinical		chembl_clinical
FOLP1	1	0	1	chembl_clinical		chembl_clinical
FOLR1	1	0	1	chembl_clinical		chembl_clinical
FOXO1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
FOXO3	1	0	1	opentargets_high_evidence		opentargets_high_evidence
FOXP1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
FRK	1	0	1	chembl_clinical		chembl_clinical
FSHR	1	0	1	chembl_clinical		chembl_clinical
FTO	1	0	1	chembl_clinical		chembl_clinical
FTSI	1	0	1	chembl_clinical		chembl_clinical
FUBP1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
FUS	1	0	1	chembl_clinical		chembl_clinical
FUSA	1	0	1	chembl_clinical		chembl_clinical
FXYD2	1	0	1	chembl_clinical		chembl_clinical
FYN	1	0	1	chembl_clinical		chembl_clinical
FZD1	1	0	1	chembl_clinical		chembl_clinical
FZD2	1	0	1	chembl_clinical		chembl_clinical
FZD5	1	0	1	chembl_clinical		chembl_clinical
FZD7	1	0	1	chembl_clinical		chembl_clinical
FZD8	1	0	1	chembl_clinical		chembl_clinical
GAA	1	0	1	chembl_clinical		chembl_clinical
GABBR1	1	0	1	chembl_clinical		chembl_clinical
GABBR2	1	0	1	chembl_clinical		chembl_clinical
GABRA1	1	0	1	chembl_clinical		chembl_clinical
GABRA2	1	0	1	chembl_clinical		chembl_clinical
GABRA3	1	0	1	chembl_clinical		chembl_clinical
GABRA4	1	0	1	chembl_clinical		chembl_clinical
GABRA5	1	0	1	chembl_clinical		chembl_clinical
GABRA6	1	0	1	chembl_clinical		chembl_clinical
GABRB1	1	0	1	chembl_clinical		chembl_clinical
GABRB2	1	0	1	chembl_clinical		chembl_clinical
GABRB3	1	0	1	chembl_clinical		chembl_clinical
GABRD	1	0	1	chembl_clinical		chembl_clinical
GABRE	1	0	1	chembl_clinical		chembl_clinical
GABRG1	1	0	1	chembl_clinical		chembl_clinical
GABRG2	1	0	1	chembl_clinical		chembl_clinical
GABRG3	1	0	1	chembl_clinical		chembl_clinical
GABRP	1	0	1	chembl_clinical		chembl_clinical
GABRQ	1	0	1	chembl_clinical		chembl_clinical
GAG	1	0	1	chembl_clinical		chembl_clinical
GALECTIN-1	1	0	1	chembl_clinical		chembl_clinical
GALECTIN-3	1	0	1	chembl_clinical		chembl_clinical
GARS	1	0	1	chembl_clinical		chembl_clinical
GART	1	0	1	chembl_clinical		chembl_clinical
GAS6	1	0	1	chembl_clinical		chembl_clinical
GATA3	1	0	1	opentargets_high_evidence		opentargets_high_evidence
GATA6	0	1	1		article_context_literature:guo2025	article_context_literature:guo2025
GB	1	0	1	chembl_clinical		chembl_clinical
GBA	1	0	1	chembl_clinical		chembl_clinical
GBA1	1	0	1	chembl_clinical		chembl_clinical
GC	1	0	1	chembl_clinical		chembl_clinical
GCGR	1	0	1	chembl_clinical		chembl_clinical
GCK	1	0	1	chembl_clinical		chembl_clinical
GD	1	0	1	chembl_clinical		chembl_clinical
GDF2	1	0	1	chembl_clinical		chembl_clinical
GE	1	0	1	chembl_clinical		chembl_clinical
GFRA1	1	0	1	chembl_clinical		chembl_clinical
GG	1	0	1	chembl_clinical		chembl_clinical
GGCX	1	0	1	chembl_clinical		chembl_clinical
GH	1	0	1	chembl_clinical		chembl_clinical
GHR	1	0	1	chembl_clinical		chembl_clinical
GHRHR	1	0	1	chembl_clinical		chembl_clinical
GHSR	1	0	1	chembl_clinical		chembl_clinical
GI	1	0	1	chembl_clinical		chembl_clinical
GIF	1	0	1	chembl_clinical		chembl_clinical
GIPR	1	0	1	chembl_clinical		chembl_clinical
GJ	1	0	1	chembl_clinical		chembl_clinical
GK	1	0	1	chembl_clinical		chembl_clinical
GL	1	0	1	chembl_clinical		chembl_clinical
GLA	1	0	1	chembl_clinical		chembl_clinical
GLP1R	1	0	1	chembl_clinical		chembl_clinical
GLP2R	1	0	1	chembl_clinical		chembl_clinical
GLRA1	1	0	1	chembl_clinical		chembl_clinical
GLRB	1	0	1	chembl_clinical		chembl_clinical
GLS	1	0	1	chembl_clinical		chembl_clinical
GLUCLX	1	0	1	chembl_clinical		chembl_clinical
GLUCOKINASE	1	0	1	chembl_clinical		chembl_clinical
GLYPICAN-3	1	0	1	chembl_clinical		chembl_clinical
GM	1	0	1	chembl_clinical		chembl_clinical
GMCSFR-ALPHA	1	0	1	chembl_clinical		chembl_clinical
GMPS	1	0	1	chembl_clinical		chembl_clinical
GN	1	0	1	chembl_clinical		chembl_clinical
GNA11	1	0	1	opentargets_high_evidence		opentargets_high_evidence
GNAQ	1	0	1	opentargets_high_evidence		opentargets_high_evidence
GNAS	1	0	1	opentargets_high_evidence		opentargets_high_evidence
GNRHR	1	0	1	chembl_clinical		chembl_clinical
GOT1	0	1	1		article_context_literature:nwosu2025	article_context_literature:nwosu2025
GP	1	0	1	chembl_clinical		chembl_clinical
GP1BA	1	0	1	chembl_clinical		chembl_clinical
GP2	1	0	1	chembl_clinical		chembl_clinical
GP41	1	0	1	chembl_clinical		chembl_clinical
GP6	1	0	1	chembl_clinical		chembl_clinical
GPA33	1	0	1	chembl_clinical		chembl_clinical
GPC3	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
GPD2	1	0	1	chembl_clinical		chembl_clinical
GPNMB	1	0	1	chembl_clinical		chembl_clinical
GPR109A	1	0	1	chembl_clinical		chembl_clinical
GPR119	1	0	1	chembl_clinical		chembl_clinical
GPR44	1	0	1	chembl_clinical		chembl_clinical
GPR84	1	0	1	chembl_clinical		chembl_clinical
GPRC5A	0	1	1		curated_literature:Guo2025	curated_literature:Guo2025
GPRC5D	1	0	1	chembl_clinical		chembl_clinical
GPS2	0	1	1		article_context_literature:savage2024	article_context_literature:savage2024
GR3	1	0	1	chembl_clinical		chembl_clinical
GRB10	0	1	1		article_context_literature:slc2025	article_context_literature:slc2025
GRIA1	1	0	1	chembl_clinical		chembl_clinical
GRIA2	1	0	1	chembl_clinical		chembl_clinical
GRIA3	1	0	1	chembl_clinical		chembl_clinical
GRIA4	1	0	1	chembl_clinical		chembl_clinical
GRIK1	1	0	1	chembl_clinical		chembl_clinical
GRIK2	1	0	1	chembl_clinical		chembl_clinical
GRIK3	1	0	1	chembl_clinical		chembl_clinical
GRIK4	1	0	1	chembl_clinical		chembl_clinical
GRIK5	1	0	1	chembl_clinical		chembl_clinical
GRIN1	1	0	1	chembl_clinical		chembl_clinical
GRIN2A	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
GRIN2B	1	0	1	chembl_clinical		chembl_clinical
GRIN2C	1	0	1	chembl_clinical		chembl_clinical
GRIN2D	1	0	1	chembl_clinical		chembl_clinical
GRIN3A	1	0	1	chembl_clinical		chembl_clinical
GRIN3B	1	0	1	chembl_clinical		chembl_clinical
GRM2	1	0	1	chembl_clinical		chembl_clinical
GRM3	1	0	1	chembl_clinical		chembl_clinical
GRM4	1	0	1	chembl_clinical		chembl_clinical
GRM5	1	0	1	chembl_clinical		chembl_clinical
GROEL2	1	0	1	chembl_clinical		chembl_clinical
GSC1	1	0	1	chembl_clinical		chembl_clinical
GSK3A	1	0	1	chembl_clinical		chembl_clinical
GSK3B	1	0	1	chembl_clinical		chembl_clinical
GSR	1	0	1	chembl_clinical		chembl_clinical
GSTP1	1	0	1	chembl_clinical		chembl_clinical
GUCY1A1	1	0	1	chembl_clinical		chembl_clinical
GUCY1A2	1	0	1	chembl_clinical		chembl_clinical
GUCY1A3	1	0	1	chembl_clinical		chembl_clinical
GUCY1B1	1	0	1	chembl_clinical		chembl_clinical
GUCY1B2	1	0	1	chembl_clinical		chembl_clinical
GUCY1B3	1	0	1	chembl_clinical		chembl_clinical
GUCY2C	1	0	1	chembl_clinical		chembl_clinical
GWT1	1	0	1	chembl_clinical		chembl_clinical
GYRA	1	0	1	chembl_clinical		chembl_clinical
GYRB	1	0	1	chembl_clinical		chembl_clinical
HA	1	0	1	chembl_clinical		chembl_clinical
HAMP	1	0	1	chembl_clinical		chembl_clinical
HAP1	1	0	1	chembl_clinical		chembl_clinical
HAVCR2	1	0	1	chembl_clinical		chembl_clinical
HBA1	1	0	1	chembl_clinical		chembl_clinical
HBA2	1	0	1	chembl_clinical		chembl_clinical
HBB	1	0	1	chembl_clinical		chembl_clinical
HBCAG	1	0	1	chembl_clinical		chembl_clinical
HBEGF	1	0	1	chembl_clinical		chembl_clinical
HCAR2	1	0	1	chembl_clinical		chembl_clinical
HCK	1	0	1	chembl_clinical		chembl_clinical
HCN4	1	0	1	chembl_clinical		chembl_clinical
HCRTR1	1	0	1	chembl_clinical		chembl_clinical
HCRTR2	1	0	1	chembl_clinical		chembl_clinical
HDAC1	1	0	1	chembl_clinical		chembl_clinical
HDAC10	1	0	1	chembl_clinical		chembl_clinical
HDAC11	1	0	1	chembl_clinical		chembl_clinical
HDAC2	1	0	1	chembl_clinical		chembl_clinical
HDAC3	1	1	2	chembl_clinical	article_context_literature:savage2024	article_context_literature:savage2024;chembl_clinical
HDAC4	1	0	1	chembl_clinical		chembl_clinical
HDAC5	1	0	1	chembl_clinical		chembl_clinical
HDAC6	1	0	1	chembl_clinical		chembl_clinical
HDAC7	1	0	1	chembl_clinical		chembl_clinical
HDAC8	1	0	1	chembl_clinical		chembl_clinical
HDAC9	1	0	1	chembl_clinical		chembl_clinical
HELI	1	0	1	chembl_clinical		chembl_clinical
HEPARANASE	1	0	1	chembl_clinical		chembl_clinical
HEPCIDIN	1	0	1	chembl_clinical		chembl_clinical
HERPUD1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
HGF	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
HIP1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
HIV1	1	0	1	chembl_clinical		chembl_clinical
HLA-DRB1	1	0	1	chembl_clinical		chembl_clinical
HLA-DRB3	1	0	1	chembl_clinical		chembl_clinical
HLA-DRB4	1	0	1	chembl_clinical		chembl_clinical
HLA-DRB5	1	0	1	chembl_clinical		chembl_clinical
HLF	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
HLY	1	0	1	chembl_clinical		chembl_clinical
HMG1	1	0	1	chembl_clinical		chembl_clinical
HMGA2	1	0	1	opentargets_high_evidence		opentargets_high_evidence
HMGB1	1	0	1	chembl_clinical		chembl_clinical
HMGCR	1	0	1	chembl_clinical		chembl_clinical
HN1	1	0	1	chembl_clinical		chembl_clinical
HNF1B	1	0	1	opentargets_high_evidence		opentargets_high_evidence
HNF4A	1	0	1	chembl_clinical		chembl_clinical
HNRNPA2B1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
HPD	1	0	1	chembl_clinical		chembl_clinical
HPL	1	0	1	chembl_clinical		chembl_clinical
